uid,session_id,timestamp,event_type,screen_x,screen_y,distance,interval,speed,isFraud
42596810-60fd-4b69-8fe2-9904bc848595,session_user_1_1,1.66E+12,Mouse Click,864,248,0,0,,0
481dcd8f-c948-48f2-9412-2e448b799e89,session_user_1_1,1.66E+12,Mouse Click,869.57605,322.76715,74.97478945,2864940,2.62E-05,0
0b166cf8-4c01-4f20-af40-773ad7121a51,session_user_1_1,1.66E+12,Scroll Up,1611,799,881.19646,17148793,5.14E-05,0
3298efab-849a-4c4f-b87a-a3c3fbff0799,session_user_1_1,1.66E+12,Key Press,1748,913,178.2273829,79663262,2.24E-06,0
bbf34e30-3478-4a5a-8e0b-0af5fdc590e1,session_user_1_1,1.66E+12,Scroll Up,448,485,1368.643124,75035787,1.82E-05,0
9d907458-c986-4a81-8213-edc180afe254,session_user_1_1,1.66E+12,Key Press,571,627,187.8643127,81432073,2.31E-06,0
fabbc90c-8c8b-464f-a562-28f150ca9dbb,session_user_1_1,1.66E+12,Mouse Click,1189,347,678.4718122,275021514,2.47E-06,0
eb6eb8f6-2ea6-4495-b1fe-f99a7a08aa40,session_user_1_1,1.66E+12,Key Press,95,127,1115.901429,73674033,1.51E-05,0
c25fab12-f21a-4836-9976-8294e7f82b87,session_user_1_1,1.66E+12,Mouse Click,286,291,251.7478898,352182214,7.15E-07,0
20fbc54e-078e-4709-a440-48ed1d54bc03,session_user_1_1,1.66E+12,Key Press,313,219,76.89603371,4188821,1.84E-05,0
97d72bd3-1157-4ca8-a6c0-43844d7eaa50,session_user_1_2,1.66E+12,Mouse Click,923,591,0,0,,0
251c3ec1-5207-4bed-b526-1e5f4311f958,session_user_1_2,1.66E+12,Mouse Click,945.3334,414,178.4034214,153637658,1.16E-06,0
8536e238-87b8-4577-ad7b-ea29ec79de37,session_user_1_2,1.66E+12,Mouse Click,2132.5781,828.35547,1257.47383,23783991,5.29E-05,0
8ea309fb-a64c-4af7-9402-250a2d86f8ed,session_user_1_2,1.66E+12,Key Press,528.071,440.76984,1650.656128,23708984,6.96E-05,0
339ee80b-01e2-45c8-9eb3-49c65bcda11f,session_user_1_2,1.66E+12,Scroll Down,357,404,174.978022,294613753,5.94E-07,0
e1992ddb-0879-4f4e-af0d-061643a13154,session_user_1_2,1.66E+12,Mouse Click,761,396,404.0792002,17008018,2.38E-05,0
41e08362-8431-44ca-9342-768b5bb80b8c,session_user_1_2,1.66E+12,Scroll Down,18.666668,99.333336,799.418467,154628615,5.17E-06,0
aa717d10-9556-4a6a-b2de-adf1d9b4c3b1,session_user_1_2,1.66E+12,Scroll Up,660,313,675.9895606,5602014,0.000120669,0
f0f27c8d-677e-4d77-a4a6-f4a9f87bad0b,session_user_1_2,1.66E+12,Mouse Click,872,572,334.7013594,27628851,1.21E-05,0
4e87e3aa-0ac0-407e-b817-331b4d1f2cd0,session_user_1_2,1.66E+12,Mouse Click,736,637,150.7348666,423107,0.000356257,0
